# Forceps productivity export at Fri Apr 19 14:34:56 CEST 2024

# Genotypes included in the simulation
# genoptypeName	id name sname type s hmax amax g ddmin witn witx drtol ntol brow ly la lq immt ageMaturityForReproduction
# 0-Genotype-1	0 Abies alba AAlb E5 75.0 50.0 366.0 350.0 841.0 -6.0 5.0 0.23 3 5 0.05 1.0 2 -12000.0 40.0
# 17-Genotype-1	17 Fagus sylvatica FSyl D3 76.0 50.0 400.0 260.0 841.0 -6.0 9.0 0.25 2 3 0.05 1.0 2 -12000.0 45.0

#Trees
#date	speciesId	speciesShortName	adultProdBasalArea	adultProdBiomass	adultTreeBasalArea	adultTreeBiomass	deadBasalArea	deadBiomass	saplingBasalArea	saplingBiomass	adultTreeNumber	deadNumber	saplingNumber	adultProdBasalArea_m2_ha	adultProdBiomass_t_ha	adultTreeBasalArea_m2_ha	adultTreeBiomass_t_ha	deadBasalArea_m2_ha	deadBiomass_t_ha	saplingBasalArea_m2_ha	saplingBiomass_t_ha	adultTreeNumber_ha	deadNumber_ha	saplingNumber_ha	allTreesMean_la	allTreesMean_drtol	allTreesMean_g	reproducerTreesMean_la	reproducerTreesMean_drtol	reproducerTreesMean_g	deadTreesMean_la	deadTreesMean_drtol	deadTreesMean_g

1960	0	AAlb	0.21243	1815.42456	9.14558	64089.09826	0	0	0.00101	9.54567	240	0	8	0.45102	3.8544	19.41736	136.07027	0	0	0.00215	0.02027	509.55414	0	16.98514	1	0.23	350	1	0.23	350	-1	-1	-1
1960	17	FSyl	0.21396	1672.54546	8.20085	62134.45246	0	0	0.00101	7.27058	324	0	8	0.45426	3.55105	17.41158	131.92028	0	0	0.00215	0.01544	687.89809	0	16.98514	1	0.25	260	1	0.25	260	-1	-1	-1
1961	0	AAlb	0.21034	1792.31502	9.35693	65890.95895	0	0	0.00114	10.73888	248	0	9	0.44658	3.80534	19.86609	139.89588	0	0	0.00242	0.0228	526.53928	0	19.10828	1	0.23	350	1	0.23	350	-1	-1	-1
1961	17	FSyl	0.20942	1605.81096	8.41129	63747.534	0	0	0.00241	17.26764	332	0	19	0.44464	3.40937	17.85836	135.34508	0	0	0.00511	0.03666	704.88323	0	40.3397	1	0.25	260	1	0.25	260	-1	-1	-1
1962	0	AAlb	0.21252	1835.65257	9.57059	67737.35041	0	0	0.00013	1.19321	257	0	1	0.45121	3.89735	20.31972	143.81603	0	0	0.00027	0.00253	545.64756	0	2.12314	1	0.23	350	1	0.23	350	-1	-1	-1
1962	17	FSyl	0.20783	1580.62341	8.62153	65345.42505	0	0	0.00139	9.99705	351	0	11	0.44126	3.35589	18.30474	138.73763	0	0	0.00296	0.02123	745.22293	0	23.35456	1	0.25	260	1	0.25	260	-1	-1	-1
1963	0	AAlb	0.1211	1051.48846	5.99899	43045.6634	3.69283	25744.36868	0.00139	13.1253	154	104	11	0.25712	2.23246	12.73671	91.39207	7.84039	54.65896	0.00296	0.02787	326.96391	220.80679	23.35456	1	0.23	350	1	0.23	350	1	0.23	350
1963	17	FSyl	0.1327	972.97276	6.00129	45324.45008	2.75434	21003.94478	0.00393	28.17351	260	102	31	0.28175	2.06576	12.74159	96.23025	5.84786	44.59436	0.00834	0.05982	552.01699	216.56051	65.81741	1	0.25	260	1	0.25	260	1	0.25	260
1964	0	AAlb	0.17971	1553.83435	6.18009	44612.62305	0	0	0.00127	11.93209	165	0	10	0.38154	3.29901	13.12122	94.71894	0	0	0.00269	0.02533	350.31847	0	21.23142	1	0.23	350	1	0.23	350	-1	-1	-1
1964	17	FSyl	0.20024	1820.27254	6.20545	47172.89614	0	0	0.00405	29.08233	291	0	32	0.42513	3.8647	13.17505	100.15477	0	0	0.00861	0.06175	617.83439	0	67.94055	1	0.25	260	1	0.25	260	-1	-1	-1
1965	0	AAlb	0.18519	1604.5503	6.36655	46229.10544	0	0	0.0019	17.89814	175	0	15	0.39319	3.40669	13.5171	98.15097	0	0	0.00403	0.038	371.54989	0	31.84713	1	0.23	350	1	0.23	350	-1	-1	-1
1965	17	FSyl	0.19767	1801.21472	6.40718	49003.19319	0	0	0.00443	31.8088	323	0	35	0.41969	3.82424	13.60335	104.04075	0	0	0.00941	0.06753	685.77495	0	74.30998	1	0.25	260	1	0.25	260	-1	-1	-1
